"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_GK3_WERT";"Y_GK3_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3024016";"24016";"de:06432:24016";"Am Hinkelstein";"Alsbach-Hähnlein-Alsbach Am Hinkelstein";"3472256";"5511608";"8,61406241100496";"49,7404366267952";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3011252";"11252";"de:06432:11252";"Bahnhof";"Alsbach-Hähnlein-Alsbach Bahnhof";"3471709";"5511538";"8,60647899492128";"49,7397817947072";"DADLAND";"1";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024015";"24015";"de:06432:24015";"Beuneweg";"Alsbach-Hähnlein-Alsbach Beuneweg";"3472724";"5512258";"8,62050944974022";"49,7463019605983";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3015956";"15956";"de:06432:15956";"Brücke";"Alsbach-Hähnlein-Alsbach Brücke";"3471372";"5511618";"8,6017980032851";"49,740485095938";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024743";"24743";"de:06432:24743";"Im Gehren";"Alsbach-Hähnlein-Alsbach Im Gehren";"3472524";"5511340";"8,61779925801373";"49,7380394377974";"DADLAND";"0";"12.12.2010";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024950";"24950";"de:06432:24950";"In der Pfarrtanne";"Alsbach-Hähnlein In der Pfarrtanne";"3471780";"5511923";"8,60743607812756";"49,7432465266961";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024782";"24782";"de:06432:24782";"Ortsmitte";"Alsbach-Hähnlein-Alsbach Ortsmitte";"3472749";"5512013";"8,6208734536557";"49,7441003859245";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024020";"24020";"de:06432:24020";"Rathaus";"Alsbach-Hähnlein-Alsbach Rathaus";"3472856";"5511699";"8,62237984792418";"49,7412821616201";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3015969";"15969";"de:06432:15969";"Rheinstraße";"Alsbach-Hähnlein-Alsbach Rheinstraße";"3471055";"5511351";"8,59742011247746";"49,7380694219387";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Alsbach";"06";"4";"32";"001";"010"
"3024746";"24746";"de:06432:24746";"Im Engpass";"Alsbach-Hähnlein-Hähnlein Im Engpass";"3469431";"5511120";"8,5749097496337";"49,7359122350516";"DADLAND";"0";"12.12.2010";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Hähnlein";"06";"4";"32";"001";"020"
"3024325";"24325";"de:06432:24325";"Neue Schule";"Alsbach-Hähnlein-Hähnlein Neue Schule";"3468975";"5511472";"8,56855629045735";"49,7390535774173";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Hähnlein";"06";"4";"32";"001";"020"
"3024327";"24327";"de:06432:24327";"Waage";"Alsbach-Hähnlein-Hähnlein Waage";"3469331";"5511165";"8,573519050179";"49,7363117215895";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Alsbach-Hähnlein";"Hähnlein";"06";"4";"32";"001";"020"
"3024928";"24928";"de:06432:24928";"Aschaffenburger Straße";"Babenhausen Aschaffenburger Straße";"3498552";"5535884";"8,97878146066344";"49,9593332815788";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3008563";"8563";"de:06432:8563";"Bahnhof";"Babenhausen Bahnhof";"3497028";"5535735";"8,95754406786803";"49,9579879828495";"DADLAND";"1";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024958";"24958";"de:06432:24958";"Bgm.-Rühl-Straße";"Babenhausen Bürgermeister-Rühl-Straße";"3496917";"5536059";"8,9559945918569";"49,9609003391847";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3022546";"22546";"de:06432:22546";"Bürgermeister-Willand-Straße";"Babenhausen Bürgermeister-Willand-Straße";"3496888";"5536536";"8,95558654397794";"49,9651886566107";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024697";"24697";"de:06432:24697";"Continental";"Babenhausen Continental";"3496734";"5537218";"8,95343429603392";"49,9713193430822";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024926";"24926";"de:06432:24926";"Darmstädter Straße";"Babenhausen Darmstädter Straße";"3496645";"5535286";"8,95221064924226";"49,9539491958705";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024929";"24929";"de:06432:24929";"Elsässer Straße";"Babenhausen Elsässer Straße";"3496965";"5537232";"8,95665421338242";"49,9714464401081";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024690";"24690";"de:06432:24690";"Frankfurter Straße";"Babenhausen Frankfurter Straße";"3496377";"5537039";"8,94845958599257";"49,9697079685636";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024882";"24882";"de:06432:24882";"Friedhof";"Babenhausen Friedhof";"3496342";"5536159";"8,94798014249713";"49,9617961166827";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024861";"24861";"de:06432:24861";"Im Riemen";"Babenhausen Im Riemen";"3496988";"5535126";"8,95699144624509";"49,9525125576241";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3006622";"6622";"de:06432:6622";"Joachim-Schumann-Schule";"Babenhausen Joachim-Schumann-Schule";"3497031";"5536517";"8,95757978982892";"49,9650185721758";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024504";"24504";"de:06432:24504";"Jürgen-Schumann-Straße";"Babenhausen Jürgen-Schumann-Straße";"3497494";"5537451";"8,96402679678606";"49,9734178374472";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024034";"24034";"de:06432:24034";"Kaisergärten";"Babenhausen Kaisergärten";"3498025";"5535851";"8,97143732870433";"49,9590350590624";"DADLAND";"0";"15.12.2024";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3015873";"15873";"de:06432:15873";"Kaserne";"Babenhausen Kaserne";"3497712";"5535850";"8,96707537509418";"49,959024936372";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3015475";"15475";"de:06432:15475";"Ludwigstraße";"Babenhausen Ludwigstraße";"3496589";"5536401";"8,95142036314571";"49,9639732917468";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024883";"24883";"de:06432:24883";"Luisenstraße";"Babenhausen Luisenstraße";"3496130";"5536336";"8,94502375672594";"49,9633860889399";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3006621";"6621";"de:06432:6621";"Stadthalle";"Babenhausen Stadthalle";"3496795";"5536034";"8,95429454753529";"49,9606749284205";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Babenhausen";"06";"4";"32";"002";"010"
"3024512";"24512";"de:06432:24512";"Lärchenweg";"Babenhausen-Harpertshausen Lärchenweg";"3493989";"5532143";"8,91524984161949";"49,925671009148";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Harpertshausen";"06";"4";"32";"002";"020"
"3024924";"24924";"de:06432:24924";"Linde";"Babenhausen-Harpertshausen Linde";"3493927";"5532238";"8,91438490702909";"49,926524482132";"DADLAND";"0";"01.01.1995";"null";"1";"Hessen";"Darmstadt";"Darmstadt-Dieburg";"Babenhausen";"Harpertshausen";"06";"4";"32";"002";"020"
